date,venue,rest_count,stay_count,rest_revenue,stay_revenue,addrest_revenue,addperson_revenue,fnb_revenue,other_revenue,note,created_at,checkin_hours,checkout_hours
2025-03-25,jiati,12,10,11548,19590,1650,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-03-26,jiati,14,10,12416,18590,1650,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-03-27,jiati,10,18,8780,37158,550,500,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-03-28,jiati,12,13,10548,30587,1100,1000,0,1899,歷史資料匯入,2026-04-30 10:46:17,,
2025-03-29,jiati,13,22,11344,60878,2750,0,320,2699,歷史資料匯入,2026-04-30 10:46:17,,
2025-03-30,jiati,22,12,20078,22388,2200,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-03-31,jiati,17,15,15430,28685,1100,0,150,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-04-01,jiati,6,17,5770,37483,400,500,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-04-02,jiati,16,21,13700,46379,4000,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-04-03,jiati,8,25,7454,64175,2000,0,150,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-04-04,jiati,22,15,19082,42685,1600,0,680,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-04-05,jiati,28,16,25256,44184,1600,0,680,8097,歷史資料匯入,2026-04-30 10:46:17,,
2025-04-06,jiati,16,8,14608,17192,1600,1500,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-04-07,jiati,17,14,14572,30786,2000,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-04-08,jiati,15,20,13120,41580,0,0,150,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-04-09,jiati,17,23,15088,47677,400,500,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-04-10,jiati,14,22,13224,45978,2400,500,150,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-04-11,jiati,20,20,17860,43680,3200,0,1200,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-04-12,jiati,25,24,22800,64976,2800,0,900,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-04-13,jiati,32,8,29608,16592,6800,0,300,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-04-14,jiati,22,17,19720,34683,1600,500,600,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-04-15,jiati,27,21,24568,44379,2400,0,150,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-04-16,jiati,21,23,18624,48377,1600,1000,0,50,歷史資料匯入,2026-04-30 10:46:17,,
2025-04-17,jiati,20,16,17752,33084,1600,1000,1280,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-04-18,jiati,16,25,14208,52775,400,0,1540,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-04-19,jiati,19,26,19172,74874,1600,500,2100,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-04-20,jiati,25,18,22592,37382,3200,500,900,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-04-21,jiati,24,16,23212,34884,6000,0,1800,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-04-22,jiati,26,25,25488,53975,800,0,2400,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-04-23,jiati,22,22,21136,47578,1200,0,1050,1999,歷史資料匯入,2026-04-30 10:46:17,,
2025-04-24,jiati,26,25,23880,53663,4000,1000,600,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-04-25,jiati,12,21,11056,49479,1200,0,750,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-04-26,jiati,18,27,17484,80472,1200,500,520,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-04-27,jiati,24,13,21104,27937,6400,500,900,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-04-28,jiati,22,16,20736,34884,3600,0,1050,1500,歷史資料匯入,2026-04-30 10:46:17,,
2025-04-29,jiati,13,24,11336,52976,0,0,450,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-04-30,jiati,27,15,23976,33585,1200,500,600,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-05-01,jiati,45,19,39360,42081,800,500,600,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-05-02,jiati,23,26,20216,59374,4800,2500,900,2649,歷史資料匯入,2026-04-30 10:46:17,,
2025-05-03,jiati,22,23,19136,68365,3600,1500,900,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-05-04,jiati,17,13,15096,29087,3200,0,150,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-05-05,jiati,26,22,22788,57974,1200,500,750,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-05-06,jiati,21,20,18248,44968,3200,0,450,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-05-07,jiati,34,22,29992,48188,4800,2000,300,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-05-08,jiati,32,10,28408,20890,2800,0,300,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-05-09,jiati,47,13,41536,27587,2800,0,450,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-05-10,jiati,23,23,20324,63577,400,500,450,100,歷史資料匯入,2026-04-30 10:46:17,,
2025-05-11,jiati,30,17,26640,35883,2800,0,2100,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-05-12,jiati,27,20,23976,43680,2400,0,750,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-05-13,jiati,37,19,32556,41931,1600,0,1050,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-05-14,jiati,29,24,25652,52476,400,0,750,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-05-15,jiati,30,16,26440,34784,2000,0,1500,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-05-16,jiati,25,24,22100,55176,400,0,2550,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-05-17,jiati,27,27,23776,78574,2800,0,2550,1999,歷史資料匯入,2026-04-30 10:46:17,,
2025-05-18,jiati,34,9,30192,19791,2000,0,600,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-05-19,jiati,24,20,21212,44980,2800,0,1800,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-05-20,jiati,21,23,18648,51177,0,0,1950,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-05-21,jiati,33,15,29304,34385,3200,0,900,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-05-22,jiati,42,12,36996,27576,1600,0,150,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-05-23,jiati,30,26,26740,60062,2800,0,1200,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-05-24,jiati,27,24,23976,72076,3200,0,2100,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-05-25,jiati,26,12,22988,27276,2400,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-05-26,jiati,34,11,30092,23611,1200,0,600,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-05-27,jiati,47,13,41136,29587,2800,0,1500,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-05-28,jiati,30,20,26532,44568,800,0,1500,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-05-29,jiati,45,13,39660,32487,2400,0,400,3600,歷史資料匯入,2026-04-30 10:46:17,,
2025-05-30,jiati,31,20,27728,57280,400,500,1050,779,歷史資料匯入,2026-04-30 10:46:17,,
2025-05-31,jiati,22,15,22112,46585,2000,500,600,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-06-01,jiati,34,10,30992,21590,2400,0,0,50,歷史資料匯入,2026-04-30 10:46:17,,
2025-06-02,jiati,45,11,39460,24989,5200,500,300,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-06-03,jiati,45,17,40760,37883,3600,0,170,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-06-04,jiati,34,16,30692,38584,3200,500,450,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-06-05,jiati,37,12,34056,26688,1600,0,1050,2099,歷史資料匯入,2026-04-30 10:46:17,,
2025-06-06,jiati,34,20,30092,51780,2800,0,1800,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-06-07,jiati,31,27,28208,80973,1200,0,2400,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-06-08,jiati,38,16,33856,35884,2400,1500,400,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-06-09,jiati,33,17,29004,39483,3200,500,1350,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-06-10,jiati,27,22,24676,51778,1600,500,1350,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-06-11,jiati,28,21,25264,48767,2400,500,2020,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-06-12,jiati,32,20,30204,49056,0,500,1150,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-06-13,jiati,36,22,31768,56378,3600,500,1350,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-06-14,jiati,34,21,31792,62279,1200,0,1050,600,歷史資料匯入,2026-04-30 10:46:17,,
2025-06-15,jiati,39,14,35432,32974,2400,1000,600,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-06-16,jiati,35,20,31972,46780,2400,500,1270,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-06-17,jiati,32,23,28316,52777,2000,0,1630,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-06-18,jiati,39,17,37632,39983,1600,0,1500,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-06-19,jiati,39,16,34832,37084,3600,0,1050,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-06-20,jiati,27,25,25376,67201,2800,1000,2250,150,歷史資料匯入,2026-04-30 10:46:17,,
2025-06-21,jiati,31,25,27728,79374,2800,1500,1775,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-06-22,jiati,37,18,34356,41182,2800,500,1350,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-06-23,jiati,37,19,33256,44681,5200,1000,1050,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-06-24,jiati,30,23,27252,53565,1600,500,1800,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-06-25,jiati,44,17,39072,39083,7200,1500,450,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-06-26,jiati,31,18,28816,40882,2400,0,1200,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-06-27,jiati,41,21,39208,53779,2800,0,1050,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-06-28,jiati,25,28,22000,84572,3200,0,2800,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-06-29,jiati,33,18,30904,41782,2400,0,1200,5198,歷史資料匯入,2026-04-30 10:46:17,,
2025-06-30,jiati,34,20,31292,46580,2400,0,2100,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-07-01,jiati,34,16,33404,40583,2800,500,1300,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-07-02,jiati,42,19,42296,45781,4800,0,1350,50,歷史資料匯入,2026-04-30 10:46:17,,
2025-07-03,jiati,38,21,38644,49986,2400,0,2400,50,歷史資料匯入,2026-04-30 10:46:17,,
2025-07-04,jiati,37,22,37756,57232,1200,1000,3680,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-07-05,jiati,40,24,41520,71182,1600,1000,2280,50,歷史資料匯入,2026-04-30 10:46:17,,
2025-07-06,jiati,36,21,37368,47785,3600,2000,1850,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-07-07,jiati,41,12,39220,25194,3200,0,980,50,歷史資料匯入,2026-04-30 10:46:17,,
2025-07-08,jiati,38,14,37944,31780,5600,0,1350,50,歷史資料匯入,2026-04-30 10:46:17,,
2025-07-09,jiati,33,23,32404,53783,2400,500,1500,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-07-10,jiati,39,16,37932,34502,5600,0,1200,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-07-11,jiati,46,23,45748,59383,3200,0,830,50,歷史資料匯入,2026-04-30 10:46:17,,
2025-07-12,jiati,37,26,35456,78980,4400,500,2080,3999,歷史資料匯入,2026-04-30 10:46:17,,
2025-07-13,jiati,42,21,43196,48185,9200,500,1700,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-07-14,jiati,38,28,37544,66428,4000,500,2250,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-07-15,jiati,44,24,42272,53583,5600,500,2400,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-07-16,jiati,26,30,25676,71576,2800,0,1050,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-07-17,jiati,24,26,22912,61380,8800,1000,1800,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-07-18,jiati,42,23,40696,57683,7200,500,1050,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-07-19,jiati,28,28,27264,82877,8000,1000,2930,800,歷史資料匯入,2026-04-30 10:46:17,,
2025-07-20,jiati,35,14,31772,32490,4400,0,1800,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-07-21,jiati,37,16,35348,36388,6000,0,1350,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-07-22,jiati,38,23,36336,54481,6800,500,1200,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-07-23,jiati,40,18,38012,41386,4800,1000,1650,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-07-24,jiati,37,14,33832,32590,6000,0,450,50,歷史資料匯入,2026-04-30 10:46:17,,
2025-07-25,jiati,45,24,42360,65279,10800,1000,1200,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-07-26,jiati,40,24,37588,75667,8800,0,1950,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-07-27,jiati,35,16,34656,38675,6800,500,2550,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-07-28,jiati,44,21,40372,50082,6000,500,3130,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-07-29,jiati,27,19,24468,46172,2400,500,750,50,歷史資料匯入,2026-04-30 10:46:17,,
2025-07-30,jiati,33,18,33004,42185,8400,500,1050,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-07-31,jiati,44,16,41772,37086,4400,0,450,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-08-01,jiati,39,20,35532,52183,5600,1000,1200,50,歷史資料匯入,2026-04-30 10:46:17,,
2025-08-02,jiati,31,25,27928,80078,5600,500,900,150,歷史資料匯入,2026-04-30 10:46:17,,
2025-08-03,jiati,31,15,29408,33288,6800,500,1050,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-08-04,jiati,31,14,28440,31189,5200,1000,1050,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-08-05,jiati,37,24,33168,57279,8800,500,2630,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-08-06,jiati,48,21,44224,48982,6000,1500,1400,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-08-07,jiati,25,22,22700,51231,4000,0,1050,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-08-08,jiati,35,19,31880,50484,7600,0,1500,50,歷史資料匯入,2026-04-30 10:46:17,,
2025-08-09,jiati,41,22,40200,66380,6400,2000,900,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-08-10,jiati,39,16,35855,38186,6800,0,1050,3199,歷史資料匯入,2026-04-30 10:46:17,,
2025-08-11,jiati,43,18,39499,41385,6400,0,1500,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-08-12,jiati,34,16,30192,36787,4400,0,2100,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-08-13,jiati,38,19,34544,43184,8000,0,1100,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-08-14,jiati,31,18,30051,40985,8400,500,900,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-08-15,jiati,51,21,47288,55382,8400,0,1450,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-08-16,jiati,31,26,28528,83477,8400,1000,3160,500,歷史資料匯入,2026-04-30 10:46:17,,
2025-08-17,jiati,44,14,41905,33489,6800,0,1350,50,歷史資料匯入,2026-04-30 10:46:17,,
2025-08-18,jiati,35,19,33013,44984,3200,0,850,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-08-19,jiati,40,19,37132,44684,2800,0,2300,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-08-20,jiati,41,15,39908,33488,2400,1000,1050,3300,歷史資料匯入,2026-04-30 10:46:17,,
2025-08-21,jiati,37,15,35456,34589,1600,0,700,2449,歷史資料匯入,2026-04-30 10:46:17,,
2025-08-22,jiati,53,20,55163,51984,4400,1000,1350,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-08-23,jiati,37,27,34656,85877,2800,1000,1800,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-08-24,jiati,43,11,42684,25093,5200,500,900,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-08-25,jiati,44,12,42794,26892,3200,600,900,500,歷史資料匯入,2026-04-30 10:46:17,,
2025-08-26,jiati,30,23,28740,54481,1600,1000,750,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-08-27,jiati,40,21,37731,51271,4800,1000,1275,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-08-28,jiati,44,22,43394,52582,7600,0,1600,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-08-29,jiati,55,20,52040,51384,8800,0,300,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-08-30,jiati,35,26,34548,81167,7600,0,350,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-08-31,jiati,39,15,36935,34378,5200,0,750,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-09-01,jiati,37,19,35654,45985,4800,3500,1350,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-09-02,jiati,29,21,27136,48883,2800,500,1650,1320,歷史資料匯入,2026-04-30 10:46:17,,
2025-09-03,jiati,40,20,37807,45384,3600,500,2100,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-09-04,jiati,33,20,31883,48570,5600,500,1350,50,歷史資料匯入,2026-04-30 10:46:17,,
2025-09-05,jiati,46,26,44151,70376,4400,500,1140,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-09-06,jiati,38,22,35504,70980,5600,0,600,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-09-07,jiati,37,13,36016,30389,3200,0,600,1199,歷史資料匯入,2026-04-30 10:46:17,,
2025-09-08,jiati,42,19,38680,46583,5200,1500,1400,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-09-09,jiati,37,17,35348,40573,2800,0,1200,60,歷史資料匯入,2026-04-30 10:46:17,,
2025-09-10,jiati,49,20,45436,47882,2400,0,1800,30,歷史資料匯入,2026-04-30 10:46:17,,
2025-09-11,jiati,37,22,35348,53780,5200,0,2100,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-09-12,jiati,32,22,30411,58568,4400,1500,450,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-09-13,jiati,45,24,43728,75278,2000,0,2700,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-09-14,jiati,43,18,42344,42584,3200,1000,750,50,歷史資料匯入,2026-04-30 10:46:17,,
2025-09-15,jiati,35,17,33764,39785,1600,0,1650,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-09-16,jiati,34,25,32915,59977,3200,0,1650,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-09-17,jiati,38,21,37436,47981,4000,500,1800,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-09-18,jiati,40,12,39442,27190,5200,1000,1100,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-09-19,jiati,41,21,39584,58869,3600,0,750,50,歷史資料匯入,2026-04-30 10:46:17,,
2025-09-20,jiati,35,28,33164,88774,3600,500,450,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-09-21,jiati,32,13,31023,30389,2400,0,750,150,歷史資料匯入,2026-04-30 10:46:17,,
2025-09-22,jiati,37,23,36668,53979,400,0,1200,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-09-23,jiati,36,19,35147,43583,5200,0,1500,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-09-24,jiati,29,19,28252,44383,3600,1500,1650,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-09-25,jiati,32,16,29692,37286,5200,0,620,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-09-26,jiati,43,18,40668,47383,4400,500,1500,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-09-27,jiati,32,27,30608,91574,3600,0,2100,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-09-28,jiati,41,20,38511,63581,6800,0,2030,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-09-29,jiati,44,14,41738,36586,5200,0,600,30,歷史資料匯入,2026-04-30 10:46:17,,
2025-09-30,jiati,39,18,37035,43471,4400,0,1200,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-10-01,jiati,45,22,42960,51579,6400,500,750,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-10-02,jiati,40,17,37412,41572,2000,0,1050,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-10-03,jiati,49,12,46412,31189,6000,0,300,0,歷史資料匯入,2026-04-30 10:46:17,,
